Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy","Bieschke, Marke","Robinson, Christopher",,Wisconsin,School District of Waukesha,December 2021,Banned in Libraries and Classrooms,Administrator
Faces at the Bottom of the Well: The Permanence of Racism,"Bell, Derrick",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Alan Cole Is Not a Coward,"Bell, Eric",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Death Wind,"Bell, William",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Death Wind,"Bell, William",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
La tormenta,"Bell, William",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Great,"Benincasa, Sara",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Great,"Benincasa, Sara",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Not Norman: A Goldfish Story,"Bennett, Kelly",,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Things That Make White People Uncomfortable (Adapted for Young Adults),"Bennett, Michael",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Far from the Tree,"Benway, Robin",,,,Indiana,Middlebury Community Schools,December 2021,Banned in Libraries,Administrator
Far from the Tree,"Benway, Robin",,,,Tennessee,Hamilton County Schools,October 2021,Banned Pending Investigation,Administrator
Kaleidoscope Song,"Benwell, Fox",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Berenstain Bears and the Big Question (The Berenstain Bears Series),"Berenstain, Jan","Berenstain, Stan",,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
This Place Is Not My Home,"Bermudez, Cyn",,,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Trans Mission: My Quest to a Beard,"Bertie, Alex",,,,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
Trans Mission: My Quest to a Beard,"Bertie, Alex",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Trans Mission: My Quest to a Beard,"Bertie, Alex",,,,Texas,Frisco Independent School District,February 2022,Banned in Libraries and Classrooms,Administrator
Trans Mission: My Quest to a Beard,"Bertie, Alex",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Being Transgender: What You Should Know,"Bevan, Thomas E.",,,,Tennessee,Collierville Schools,February 2022,Banned in Libraries and Classrooms,Administrator
The Sin-Eater's Confession,"Bick, Ilsa J.",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
The Sin-Eater's Confession,"Bick, Ilsa J.",,,,Texas,Klein Independent School District,November 2021,Banned Pending Investigation,Administrator
The Sin-Eater's Confession,"Bick, Ilsa J.",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Marvelous Cornelius: Hurricane Katrina and the Spirit of New Orleans,"Bildner, Phil",,"Parra, John",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Most Valuable Players (Rip and Red Series),"Bildner, Phil",,"Probert, Tim",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Playing the Field,"Bildner, Phil",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
I Kissed Alice,"Birch, Anna",,"Ying, Victoria",,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"Sorted: Growing Up, Coming Out, and Finding My Place","Bird, Jackson",,,,Florida,Indian River County School District,November 2021,Banned in Libraries,Administrator
Grandmama's Pride,"Birtha, Becky",,,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
My Invented Life,"Bjorkman, Lauren",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
My Invented Life,"Bjorkman, Lauren",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
The Baby Tree,"Blackall, Sophie",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
The Baby Tree,"Blackall, Sophie",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Baby Tree,"Blackall, Sophie",,,,Wisconsin,School District of Cadott Community,March 2022,Banned in Libraries and Classrooms,Formal Challenge
Boy2Girl,"Blacker, Terence",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
Girl Made of Stars,"Blake, Ashley Herring",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Girl Made of Stars,"Blake, Ashley Herring",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
How to Make a Wish,"Blake, Ashley Herring",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring",,,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring",,,"Rojas, María Celina",Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Mighty Heart of Sunny St. James,"Blake, Ashley Herring",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Bowery Girl,"Blakemore, Kim Taylor",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Someone I Used to Know,"Blount, Patty",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Forever...,"Blume, Judy",,,,Florida,Brevard Public Schools,March 2022,Banned Pending Investigation,Administrator
Forever...,"Blume, Judy",,,,Florida,Indian River County School District,November 2021,Banned in Libraries,Administrator
Forever...,"Blume, Judy",,,,Florida,Jackson County School District,April 2022,Banned in Libraries and Classrooms,Administrator
Forever...,"Blume, Judy",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
"Then Again, Maybe I Won't","Blume, Judy",,,,Texas,Fredericksburg Independent School District,March 2022,Banned Pending Investigation,Administrator
Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights,"Blumenthal, Karen",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
A Bike Like Sergio's,"Boelts, Maribeth",,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Those Shoes,"Boelts, Maribeth",,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Changing the Equation: 50+ US Black Women in STEM,"Bolden, Tonya",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
A Quick & Easy Guide to They/Them Pronouns,"Bongiovanni, Archie","Jimerson, Tristan",,,Tennessee,Collierville Schools,February 2022,Banned in Libraries and Classrooms,Administrator
Sasha Masha,"Borinsky, Agnes",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Channel Kindness: Stories of Kindness and Community,Born This Way Foundation Reporters,Lady Gaga,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib","Bors, Matt",,,,Tennessee,Collierville Schools,February 2022,Banned in Libraries and Classrooms,Administrator
Bruised,"Boteju, Tanya",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"Kings, Queens, and In-Betweens","Boteju, Tanya",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"Allies: Real Talk About Showing Up, Screwing Up, And Trying Again","Bourne, Shakirah","Levy, Dana Alison",,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
The Witch Owl Parliament (Clockwork Curandera Series),"Bowles, David",Raúl the Third,"Robinson, Stacey; Duffy, Damian",,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Summer Bird Blue,"Bowman, Akemi Dawn",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Will,"Boyd, Maria",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Benefits of Being an Octopus,"Braden, Ann",,,,Mississippi,Madison County Schools,April 2022,Banned in Libraries,Administrator
"Ziggy, Stardust and Me","Brandon, James",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
"Daddy, There's A Noise Outside","Braswell, Kenneth",,"Dent, Joe; Anderson, Julie",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Protest Movements: Then and Now,"Braun, Eric",,,,Wisconsin,School District of Cadott Community,March 2022,Banned in Libraries and Classrooms,Formal Challenge
Lair of Dreams (The Diviners Series),"Bray, Libba",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Into the Real,"Brewer, Z",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
This Is Your Time,"Bridges, Ruby",,,,Texas,Katy Independent School District,January 2022,Banned in Libraries,Administrator
This Is Your Time,"Bridges, Ruby",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Black Rabbit Summer,"Brooks, Kevin",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Black Rabbit Summer,"Brooks, Kevin",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Imani's Moon,"Brown-Wood, JaNay",,"Mitchell, Hazel",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Who Is Malala Yousafzai? (Who was...? Series),"Brown, Dinah",,"Thomson, Andrew",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,"Brown, Echo",,,,Florida,Indian River County School District,November 2021,Banned in Libraries,Administrator
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,"Brown, Echo",,,,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,"Brown, Echo",,,,Missouri,Nixa Public Schools,February 2022,Banned in Libraries,Formal Challenge
The Key to You and Me,"Brown, Jaye Robin",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
The Meaning of Birds,"Brown, Jaye Robin",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Lola Levine and the Ballet Scheme (Lola Levine Series),"Brown, Monica",,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Lola Levine and the Halloween Scream (Lola Levine Series),"Brown, Monica",,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Lola Levine and the Vacation Dream (Lola Levine Series),"Brown, Monica",,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Lola Levine Is Not Mean! (Lola Levine Series),"Brown, Monica",,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Lola Levine Meets Jelly and Bean (Lola Levine Series),"Brown, Monica",,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Lola Levine: Drama Queen (Lola Levine Series),"Brown, Monica",,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Marisol McDonald Doesn't Match (Marisol McDonald Series),"Brown, Monica",,"Palacios, Sara",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Marisol McDonald Doesn't Match (Marisol McDonald Series),"Brown, Monica",,"Palacios, Sara",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
My Name Is Celia: The Life Of Celia Cruz / Me Llamo Celia: La Vida de Celia Cruz,"Brown, Monica",,"López, Rafael",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Pele, King of Soccer/Pele, El rey del futbol: Bilingual Spanish-English","Brown, Monica",,"Gutierrez, Rudy",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Tito Puente, Mambo King/Tito Puente, Rey del Mambo","Brown, Monica",,"López, Rafael",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
